scientific_name,author,year,bibliography,image_url,family,genus,plant_wiki,plant_id
Bolbitis quoyana,(Gaud.) Ching,1934.0,"C.F.A.Christensen, Index Filic., Suppl. Tert.: 49 (1934)",https://d2seqvvyy3b8p2.cloudfront.net/c19ebc3aba4e029f062aa279aec2beda.jpg,Polypodiaceae,Bolbitis,https://en.wikipedia.org/wiki/Bolbitis_quoyana,556
Dillenia pentagyna,Roxb.,1795.0,Pl. Coromandel 1: 21 (1795),https://d2seqvvyy3b8p2.cloudfront.net/ee618ec9ee03111d461cab34a0bcce5a.jpg,Dilleniaceae,Dillenia,https://en.wikipedia.org/wiki/Dillenia_pentagyna,557
Aeschynanthus longicaulis,Wall. ex R.Br.,1839.0,Cyrtandreae: 116 (1839),https://d2seqvvyy3b8p2.cloudfront.net/4ae10e5df9c3a6468da5570b5f3b603d.jpg,Gesneriaceae,Aeschynanthus,https://en.wikipedia.org/wiki/Aeschynanthus_longicaulis,558
Datura stramonium,L.,1753.0,Sp. Pl.: 179 (1753),https://bs.plantnet.org/image/o/e5503b1991b501589edb755b1c18dea75a69910a,Solanaceae,Datura,https://en.wikipedia.org/wiki/Datura_stramonium,559
Crocus mathewii,H.Kerndorff & E.Pasche,1994.0,New Plantsman 1: 102 (1994),https://d2seqvvyy3b8p2.cloudfront.net/ef6004ac19d7f51618f7b665ad33ab9d.jpg,Iridaceae,Crocus,https://en.wikipedia.org/wiki/Crocus,560
Teijsmanniodendron pteropodum,(Miq.) Bakh.,1921.0,"Bull. Jard. Bot. Buitenzorg, sér. 3, 3: 29 (1921)",https://d2seqvvyy3b8p2.cloudfront.net/265e54872a2e639f06b891219abeffa4.jpg,Lamiaceae,Teijsmanniodendron,https://en.wikipedia.org/wiki/Teijsmanniodendron,561
Diospyros canaliculata,De Wild.,1926.0,Pl. Bequaert. 3: 537 (1926),https://d2seqvvyy3b8p2.cloudfront.net/a69cd1fe64d0c72b4498991666a291c5.jpg,Ebenaceae,Diospyros,https://en.wikipedia.org/wiki/List_of_Diospyros_species,562
Bauhinia forficata,Link,1821.0,Enum. Hort. Berol. Alt. 1: 404 (1821),https://d2seqvvyy3b8p2.cloudfront.net/e6be399aeae335f2838f04880004b889.jpg,Fabaceae,Bauhinia,https://en.wikipedia.org/wiki/Bauhinia_forficata,563
Galanthus elwesii,Hook.f.,1875.0,Bot. Mag. 101: t. 6166 (1875),https://bs.plantnet.org/image/o/ec17056fda30afb8193c1e4456d9339be8257cc8,Amaryllidaceae,Galanthus,https://en.wikipedia.org/wiki/Galanthus,564
Paspalum millegranum,Schrad.,1824.0,"J.A.Schultes, Mant. 2: 175 (1824)",https://d2seqvvyy3b8p2.cloudfront.net/76d74cb93eb34a3424bea838c5ce8e46.jpg,Poaceae,Paspalum,,565
Umbilicus horizontalis,DC.,1828.0,Prodr. 3: 400 (1828),https://bs.plantnet.org/image/o/9836bb2f07ad9d23e2450f9607276e58085a1002,Crassulaceae,Umbilicus,https://en.wikipedia.org/wiki/Umbilicus_horizontalis,566
Draba magellanica,Lam.,1786.0,Encycl. 2: 328 (1786),https://d2seqvvyy3b8p2.cloudfront.net/9d7b35e2ed6c1687eeba9f3a8f8bdb2b.jpg,Brassicaceae,Draba,https://en.wikipedia.org/wiki/Draba,567
Echium angustifolium,Mill.,1768.0,Gard. Dict. ed. 8: n.º 6 (1768),https://bs.plantnet.org/image/o/63cee315af5376a40e6b1df518207a227426b765,Boraginaceae,Echium,https://en.wikipedia.org/wiki/Echium,568
Colchicum cilicicum,(Boiss.) Dammer,1898.0,"Gard. Chron., ser. 3, 23: 34 (1898)",https://bs.plantnet.org/image/o/5f00e93137b340a5acf89609196afdef3b067ded,Colchicaceae,Colchicum,https://en.wikipedia.org/wiki/Colchicum_cilicicum,569
