plant_id,full_name,botanist_wiki,botanist_last_name
71,Nicholas Edward Brown,http://en.wikipedia.org/wiki/Nicholas_Edward_Brown,brown
71,Addison Brown,http://en.wikipedia.org/wiki/Addison_Brown,brown
71,Andrew Phillip Brown,http://en.wikipedia.org/wiki/Andrew_Phillip_Brown,brown
71,William Brown,http://en.wikipedia.org/wiki/William_Brown_(plant_pathologist),brown
71,George Bentham,http://en.wikipedia.org/wiki/George_Bentham,bentham
72,Graham Stuart Thomas,http://en.wikipedia.org/wiki/Graham_Stuart_Thomas,thomas
72,Mason Blanchard Thomas,http://en.wikipedia.org/w/index.php?title=Mason_Blanchard_Thomas&action=edit&redlink=1,thomas
73,James Edward Smith,http://en.wikipedia.org/wiki/James_Edward_Smith,smith
73,Johannes Jacobus Smith,http://en.wikipedia.org/wiki/Johannes_Jacobus_Smith,smith
73,Winifred Smith,http://en.wikipedia.org/wiki/Winifred_Smith,smith
73,Christo Albertyn Smith,http://en.wikipedia.org/wiki/Christo_Albertyn_Smith,smith
73,Charles Piper Smith,http://en.wikipedia.org/wiki/Charles_Piper_Smith,smith
73,Gerard Edwards Smith,http://en.wikipedia.org/wiki/Gerard_Edwards_Smith,smith
73,Gilbert Morgan Smith,http://en.wikipedia.org/wiki/Gilbert_Morgan_Smith,smith
73,Henry George Smith,http://en.wikipedia.org/wiki/Henry_George_Smith,smith
73,Hamilton Lanphere Smith,http://en.wikipedia.org/wiki/Hamilton_Lanphere_Smith,smith
73,Albert Charles Smith,http://en.wikipedia.org/wiki/Albert_Charles_Smith,smith
73,Alan Reid Smith,http://en.wikipedia.org/w/index.php?title=Alan_Reid_Smith&action=edit&redlink=1,smith
73,William Wright Smith,http://en.wikipedia.org/wiki/William_Wright_Smith,smith
74,William Jameson,http://en.wikipedia.org/wiki/William_Jameson_(botanist_born_1815),jameson
75,Robert Harold Compton,http://en.wikipedia.org/wiki/Robert_Harold_Compton,compton
76,Gordon Herriott (Heriot) Cunningham,http://en.wikipedia.org/wiki/G._H._Cunningham,cunningham
76,Allan Cunningham,http://en.wikipedia.org/wiki/Allan_Cunningham_(botanist),cunningham
77,Edward Elmer Wilson,http://en.wikipedia.org/w/index.php?title=Edward_Elmer_Wilson&action=edit&redlink=1,wilson
77,Ernest Henry Wilson,http://en.wikipedia.org/wiki/Ernest_Henry_Wilson,wilson
77,Hugh Wilson,http://en.wikipedia.org/wiki/Hugh_Wilson_(New_Zealand_botanist),wilson
77,William M. Wilson,http://en.wikipedia.org/wiki/William_Wilson_(botanist),wilson
77,Frederick,,frederick
78,Benjamin Lincoln Robinson,http://en.wikipedia.org/wiki/Benjamin_Lincoln_Robinson,robinson
78,Charles Budd Robinson,http://en.wikipedia.org/wiki/Charles_Budd_Robinson,robinson
78,Edward Armitage Robinson,http://en.wikipedia.org/w/index.php?title=Edward_Armitage_Robinson&action=edit&redlink=1,robinson
78,George Leslie Robinson,http://en.wikipedia.org/w/index.php?title=George_Leslie_Robinson&action=edit&redlink=1,robinson
78,Harold E. Robinson,http://en.wikipedia.org/wiki/Harold_E._Robinson,robinson
78,Alastair Robinson,http://en.wikipedia.org/wiki/Alastair_Robinson,robinson
79,William Jameson,http://en.wikipedia.org/wiki/William_Jameson_(botanist_born_1815),jameson
79,Arthur Francis George Kerr,http://en.wikipedia.org/wiki/Arthur_Francis_George_Kerr,kerr
79,Gouan,,gouan
80,Theodor Carl Julius Herzog,http://en.wikipedia.org/wiki/T._K._G._Herzog,herzog
81,Lachenal,,lachenal
81,Robert Morison,http://en.wikipedia.org/wiki/Robert_Morison,morison
82,Edward Morell Holmes,http://en.wikipedia.org/wiki/Edward_Morell_Holmes,holmes
82,Joseph Banks,http://en.wikipedia.org/wiki/Joseph_Banks,banks
82,Harlan Parker Banks,http://en.wikipedia.org/wiki/Harlan_Parker_Banks,banks
83,Alexander Kenneth Cameron,http://en.wikipedia.org/w/index.php?title=Alexander_Kenneth_Cameron&action=edit&redlink=1,cameron
84,José Cuatrecasas,http://en.wikipedia.org/wiki/Jos%C3%A9_Cuatrecasas,cuatrecasas
85,Rumph,,rumph
85,Thomas Frederic Cheeseman,http://en.wikipedia.org/wiki/Thomas_Frederic_Cheeseman,cheeseman
85,Bartet,,bartet
85,Neil Gibson,http://en.wikipedia.org/w/index.php?title=Neil_Gibson_(botanist)&action=edit&redlink=1,gibson
85,Alexander Gibson,http://en.wikipedia.org/wiki/Alexander_Gibson_(botanist),gibson
85,William Hamilton Gibson,http://en.wikipedia.org/wiki/William_Hamilton_Gibson,gibson
85,Dennison,,dennison
85,Baptist,,baptist
